iter	Passed	Remaining
0	48	48457
1	48	24406
2	49	16381
3	49	12371
4	50	10073
5	51	8471
6	51	7304
7	51	6425
8	52	5749
9	52	5203
10	52	4758
11	53	4387
12	53	4072
13	53	3802
14	54	3577
15	54	3370
16	55	3191
17	55	3030
18	55	2885
19	56	2755
20	56	2637
21	56	2530
22	57	2432
23	57	2343
24	57	2261
25	58	2184
26	58	2114
27	58	2048
28	59	1986
29	59	1930
30	60	1876
31	60	1827
32	60	1780
33	61	1736
34	61	1694
35	61	1654
36	62	1617
37	62	1581
38	62	1548
39	63	1515
40	63	1485
41	63	1455
42	64	1432
43	64	1411
44	65	1390
45	66	1371
46	66	1352
47	67	1333
48	67	1316
49	68	1295
50	68	1283
51	69	1268
52	69	1249
53	70	1231
54	71	1230
55	71	1213
56	72	1197
57	72	1181
58	73	1165
59	73	1151
60	73	1136
61	74	1121
62	74	1107
63	74	1094
64	75	1080
65	75	1067
66	75	1055
67	76	1043
68	76	1031
69	76	1019
70	77	1008
71	77	997
72	77	986
73	78	976
74	78	966
75	78	956
76	78	946
77	79	936
78	79	927
79	79	918
80	80	909
81	80	901
82	80	891
83	81	883
84	81	875
85	81	868
86	82	860
87	82	853
88	82	846
89	83	839
90	83	832
91	83	826
92	84	820
93	84	813
94	84	807
95	85	801
96	85	795
97	85	789
98	86	783
99	86	778
100	86	772
101	87	767
102	87	762
103	87	757
104	88	751
105	88	746
106	88	741
107	89	736
108	89	731
109	89	726
110	90	721
111	90	717
112	90	712
113	91	707
114	91	702
115	91	698
116	91	693
117	92	689
118	92	685
119	92	681
120	93	677
121	93	672
122	93	668
123	94	664
124	94	660
125	94	657
126	94	652
127	95	649
128	95	645
129	96	642
130	96	639
131	96	635
132	96	632
133	97	628
134	97	625
135	97	622
136	98	618
137	98	615
138	98	612
139	99	609
140	99	606
141	99	603
142	100	600
143	100	597
144	100	595
145	101	592
146	101	590
147	102	589
148	102	587
149	103	584
150	103	581
151	103	579
152	104	576
153	104	573
154	104	571
155	105	568
156	105	566
157	105	563
158	106	561
159	106	558
160	106	555
161	106	553
162	107	550
163	107	548
164	107	546
165	108	543
166	108	541
167	108	538
168	109	536
169	109	534
170	109	532
171	110	530
172	110	527
173	110	525
174	111	523
175	111	521
176	111	519
177	112	517
178	112	515
179	112	513
180	113	512
181	113	510
182	114	509
183	114	507
184	114	506
185	115	504
186	115	503
187	116	501
188	116	500
189	117	498
190	117	497
191	117	495
192	118	493
193	118	491
194	118	489
195	118	488
196	119	486
197	119	484
198	119	482
199	120	481
200	120	479
201	120	477
202	121	476
203	121	474
204	121	472
205	122	471
206	122	469
207	122	467
208	123	466
209	123	464
210	123	462
211	124	461
212	124	459
213	124	458
214	125	456
215	125	454
216	125	453
217	125	451
218	126	450
219	126	448
220	126	447
221	127	445
222	127	444
223	127	443
224	128	442
225	128	440
226	129	440
227	130	440
228	130	439
229	130	438
230	131	437
231	131	436
232	132	435
233	132	434
234	133	433
235	133	431
236	133	430
237	133	428
238	134	427
239	134	426
240	134	424
241	135	423
242	135	422
243	135	420
244	136	419
245	136	418
246	136	416
247	137	415
248	137	414
249	137	413
250	137	411
251	138	410
252	138	409
253	138	408
254	139	406
255	139	405
256	139	404
257	140	403
258	140	401
259	140	400
260	141	399
261	141	398
262	141	397
263	142	396
264	142	395
265	142	393
266	143	392
267	143	391
268	143	390
269	144	389
270	144	388
271	144	387
272	145	387
273	145	385
274	146	384
275	146	384
276	146	383
277	147	382
278	147	381
279	147	380
280	148	379
281	148	378
282	148	377
283	149	376
284	149	374
285	149	373
286	150	372
287	150	371
288	150	370
289	151	369
290	151	369
291	151	368
292	152	367
293	152	366
294	152	365
295	153	364
296	153	363
297	153	362
298	154	361
299	154	360
300	154	359
301	155	358
302	155	357
303	155	356
304	156	355
305	156	354
306	156	353
307	156	352
308	157	351
309	157	350
310	157	349
311	158	348
312	158	348
313	158	347
314	159	346
315	159	345
316	159	344
317	160	343
318	160	342
319	160	341
320	161	340
321	161	339
322	161	339
323	162	338
324	162	337
325	163	337
326	163	336
327	163	335
328	163	334
329	164	333
330	164	332
331	164	331
332	165	330
333	165	330
334	165	329
335	166	328
336	166	327
337	166	326
338	167	325
339	167	325
340	167	324
341	168	323
342	168	322
343	168	321
344	168	320
345	169	319
346	169	319
347	169	318
348	170	317
349	170	316
350	170	315
351	171	314
352	171	314
353	171	313
354	172	312
355	172	311
356	172	311
357	173	310
358	173	309
359	173	308
360	174	308
361	174	307
362	174	306
363	174	305
364	175	305
365	175	304
366	176	303
367	176	302
368	176	302
369	176	301
370	177	300
371	177	299
372	177	299
373	178	298
374	178	297
375	178	297
376	179	296
377	179	295
378	179	294
379	180	294
380	180	293
381	180	292
382	181	291
383	181	291
384	181	290
385	182	289
386	182	288
387	182	288
388	183	287
389	183	286
390	183	285
391	183	285
392	184	284
393	184	283
394	184	283
395	185	282
396	185	281
397	185	280
398	186	280
399	186	279
400	186	279
401	187	278
402	187	277
403	187	277
404	188	276
405	188	275
406	189	275
407	189	274
408	191	277
409	192	276
410	192	276
411	192	275
412	193	274
413	193	274
414	193	273
415	194	272
416	194	272
417	194	271
418	195	270
419	195	269
420	195	269
421	196	268
422	196	267
423	196	267
424	197	266
425	197	265
426	197	265
427	197	264
428	198	263
429	198	263
430	198	262
431	199	261
432	199	261
433	199	260
434	200	259
435	200	259
436	200	258
437	201	257
438	201	257
439	201	256
440	201	255
441	202	255
442	202	254
443	202	254
444	203	253
445	203	252
446	203	252
447	204	251
448	204	251
449	204	250
450	205	249
451	205	249
452	205	248
453	206	248
454	206	247
455	206	246
456	207	246
457	207	245
458	208	245
459	208	244
460	208	244
461	209	243
462	209	242
463	209	242
464	209	241
465	210	240
466	210	240
467	210	239
468	211	239
469	211	238
470	211	237
471	212	237
472	212	236
473	212	236
474	213	235
475	213	234
476	213	234
477	213	233
478	214	233
479	214	232
480	214	231
481	215	231
482	215	230
483	215	230
484	216	229
485	216	228
486	216	228
487	217	227
488	217	227
489	217	226
490	218	226
491	218	225
492	218	224
493	219	224
494	219	223
495	219	223
496	220	223
497	220	222
498	221	222
499	221	221
500	221	220
501	222	220
502	222	219
503	222	219
504	223	218
505	223	218
506	223	217
507	224	216
508	224	216
509	224	215
510	224	215
511	225	214
512	225	214
513	225	213
514	226	213
515	226	212
516	226	211
517	227	211
518	227	210
519	227	210
520	228	209
521	228	209
522	228	208
523	229	208
524	229	207
525	229	206
526	229	206
527	230	205
528	230	205
529	230	204
530	231	204
531	231	203
532	231	203
533	232	202
534	232	202
535	232	201
536	233	200
537	233	200
538	233	199
539	234	199
540	234	198
541	234	198
542	235	197
543	235	197
544	235	196
545	236	196
546	236	195
547	236	195
548	237	194
549	237	194
550	237	193
551	238	193
552	238	192
553	238	192
554	239	191
555	239	191
556	239	190
557	240	190
558	240	189
559	240	189
560	240	188
561	241	188
562	241	187
563	241	186
564	242	186
565	242	185
566	242	185
567	243	184
568	243	184
569	243	183
570	244	183
571	244	182
572	244	182
573	245	181
574	245	181
575	245	180
576	246	180
577	246	179
578	246	179
579	246	178
580	247	178
581	247	177
582	247	177
583	248	176
584	248	176
585	248	175
586	249	175
587	249	174
588	250	174
589	250	173
590	250	173
591	250	172
592	251	172
593	251	172
594	252	171
595	252	171
596	252	170
597	253	170
598	253	169
599	253	169
600	254	168
601	254	168
602	254	167
603	255	167
604	255	166
605	255	166
606	256	165
607	256	165
608	256	164
609	256	164
610	257	163
611	257	163
612	257	162
613	258	162
614	258	161
615	258	161
616	259	160
617	259	160
618	259	159
619	260	159
620	260	158
621	260	158
622	260	157
623	261	157
624	261	156
625	261	156
626	262	155
627	262	155
628	262	155
629	263	154
630	263	154
631	263	153
632	264	153
633	264	152
634	264	152
635	265	151
636	265	151
637	265	150
638	266	150
639	266	149
640	266	149
641	267	148
642	267	148
643	267	147
644	268	147
645	268	147
646	269	146
647	269	146
648	269	145
649	270	145
650	270	145
651	270	144
652	271	144
653	271	143
654	271	143
655	272	142
656	272	142
657	272	141
658	273	141
659	273	140
660	273	140
661	273	139
662	274	139
663	274	138
664	274	138
665	275	138
666	275	137
667	275	137
668	276	136
669	276	136
670	276	135
671	277	135
672	277	134
673	277	134
674	278	133
675	278	133
676	278	133
677	279	132
678	279	132
679	279	131
680	280	131
681	280	130
682	281	130
683	281	130
684	281	129
685	282	129
686	282	128
687	282	128
688	283	127
689	283	127
690	283	126
691	284	126
692	284	126
693	285	125
694	285	125
695	285	124
696	286	124
697	286	123
698	286	123
699	287	123
700	287	122
701	287	122
702	288	121
703	288	121
704	288	120
705	289	120
706	289	119
707	289	119
708	290	119
709	290	118
710	290	118
711	291	117
712	291	117
713	291	116
714	292	116
715	292	115
716	292	115
717	293	115
718	293	114
719	293	114
720	294	113
721	294	113
722	294	112
723	295	112
724	295	112
725	296	111
726	296	111
727	296	110
728	297	110
729	297	110
730	297	109
731	298	109
732	298	108
733	299	108
734	299	107
735	299	107
736	300	107
737	300	106
738	300	106
739	301	105
740	301	105
741	301	104
742	302	104
743	302	104
744	302	103
745	303	103
746	303	102
747	303	102
748	304	101
749	304	101
750	304	101
751	304	100
752	305	100
753	305	99
754	305	99
755	306	98
756	306	98
757	306	97
758	307	97
759	307	97
760	307	96
761	307	96
762	308	95
763	308	95
764	308	94
765	309	94
766	309	94
767	309	93
768	310	93
769	310	92
770	310	92
771	311	91
772	311	91
773	311	91
774	312	90
775	312	90
776	312	89
777	313	89
778	313	88
779	313	88
780	314	88
781	314	87
782	314	87
783	315	86
784	315	86
785	315	86
786	316	85
787	316	85
788	316	84
789	317	84
790	317	83
791	317	83
792	318	83
793	318	82
794	318	82
795	319	81
796	319	81
797	320	81
798	321	80
799	321	80
800	321	79
801	322	79
802	322	79
803	322	78
804	323	78
805	323	77
806	323	77
807	324	77
808	324	76
809	324	76
810	325	75
811	325	75
812	326	75
813	326	74
814	326	74
815	327	73
816	327	73
817	328	72
818	328	72
819	328	72
820	329	71
821	329	71
822	329	70
823	330	70
824	330	70
825	330	69
826	331	69
827	331	68
828	331	68
829	332	68
830	332	67
831	332	67
832	333	66
833	333	66
834	333	65
835	334	65
836	334	65
837	335	64
838	335	64
839	335	63
840	336	63
841	336	63
842	336	62
843	337	62
844	337	61
845	337	61
846	338	61
847	339	60
848	339	60
849	339	59
850	340	59
851	340	59
852	341	58
853	341	58
854	342	58
855	342	57
856	343	57
857	343	56
858	344	56
859	344	56
860	345	55
861	345	55
862	345	54
863	346	54
864	346	54
865	346	53
866	347	53
867	347	52
868	347	52
869	348	52
870	348	51
871	348	51
872	349	50
873	349	50
